"Reviewer","Abdelhalim, M.","College of Computing and Information Technology"
"Reviewer","Abella, J.","Barcelona Supercomputing Center"
"Reviewer","Abramson, J.","University Of Southern California"
"Reviewer","Advani, S.","Pennsylvania State University"
"Reviewer","Agosta, G.","Politecnico Di Milano"
"Reviewer","Agrawal, V.","Auburn University"
"Reviewer","Ahmadyan, S.","University of Illinois at Urbana-Champaign"
"Reviewer","Ahmed, W.","King Khalid University"
"Reviewer","Akgun, O.","MystIC"
"Reviewer","Al Khatib, I.","Politecnico Di Milano"
"Reviewer","Al-Asaad, H.","University of California, Davis"
"Reviewer","Alexandrescu, D.","iRoc Technologies"
"Reviewer","Allam, M.","Qualcomm, Inc."
"Reviewer","Aminifar, A.","Linköping University"
"Reviewer","Azevedo, R.","Universidade Estadual de Campinas"
"Reviewer","Azevedo Dias, W.","Universidade Federal do Amazonas"
"Reviewer","babighian, p.","GLOBALFOUNDRIES"
"Reviewer","Bahl, S.","STMicroelectronics "
"Reviewer","Bai, K.","Arizona State University"
"Reviewer","Balasubramanian, L.","Texas Instruments India Pvt. Ltd."
"Reviewer","Balasubramanian, S.","Texas Instruments, Inc."
"Reviewer","Bamakhrama, M.","Leiden University"
"Reviewer","Bampi, S.","Universidade Federal do Rio Grande do Sul"
"Reviewer","BanaiyanMofrad, A.","University of California, Irvine"
"Reviewer","Baneres, D.","Universitat Oberta de Catalunya"
"Reviewer","Bardhan, J.","Northeastern University"
"Reviewer","Barenghi, A.","Politecnico Di Milano"
"Reviewer","Barkai, A.","Intel Corporation"
"Reviewer","Barros, E.","Universidade Federal de Pernambuco"
"Reviewer","Bartolini, D.","Politecnico di Milano"
"Reviewer","Baviskar, D.","Marvell Semiconductor, Inc."
"Reviewer","Behjat, L.","University Of Calgary"
"Reviewer","Ben Asher, Y.","University of Haifa"
"Reviewer","Bhaduri, A.","Cirrus Logic, Inc."
"Reviewer","Biglari-Abhari, M.","University of Auckland"
"Reviewer","Bobda, C.","University of Arkansas"
"Reviewer","Bodapati, S.","Intel Corporation"
"Reviewer","Borgatti, M.","MB Consulting"
"Reviewer","Boubezari, S.","Qualcomm Atheros, Inc."
"Reviewer","Bresticker, S.","Intel Corporation"
"Reviewer","Bsoul, A.","University of British Columbia"
"Reviewer","Butzen, P.","Universidade Federal do Rio Grande do Sul"
"Reviewer","Case, M.","Calypto Design Systems, Inc."
"Reviewer","Castellana, V.","Polytechnic University of Milan"
"Reviewer","Cazorla, F.","Barcelona Supercomputing Center"
"Reviewer","Chakkaravarthy, M.","Intel Corporation"
"Reviewer","Chakraborty, K.","Utah State University"
"Reviewer","Chan, T.","University of California at San Diego"
"Reviewer","CHANDRA, A.","Texas Instruments, Inc."
"Reviewer","Chandrasekar, K.","Delft University of Technology"
"Reviewer","Chang, W.","TUM CREATE Ltd."
"Reviewer","Chantem, T.","Utah State University"
"Reviewer","Chattopadhyay, A.","Aachen University of Technology"
"Reviewer","Chattopadhyay, S.","Linköping University"
"Reviewer","Che, W.","MathWorks, Inc."
"Reviewer","Chen, D.","Altera Corp."
"Reviewer","Chen, J.","Freescale Semiconductor, Inc."
"Reviewer","Chen, K.","Oracle Corp."
"Reviewer","Chen, L.","National Sun Yat-Sen University"
"Reviewer","Chen, M.","East China Normal University"
"Reviewer","Chen, X.","Nvidia Corp."
"Reviewer","Chen, X.","Intel Corporation"
"Reviewer","Chen, Y.","National Tsing Hua University"
"Reviewer","Chen, Y.","Institute of Computing Technology"
"Reviewer","Cheng, C.","ABB Group"
"Reviewer","Cheng, W.","Chung Yuan Christian University"
"Reviewer","Chiang, C.","Alcatel-Lucent"
"Reviewer","Chin, C.","National Chiao Tung University "
"Reviewer","Choday, S.","Purdue University"
"Reviewer","Chueh, J.","Advanced Micro Devices, Inc."
"Reviewer","Costa, J.","Ist/Inesc"
"Reviewer","Costenaro, E.","iRoc Technologies"
"Reviewer","Cron, A.","Synopsys, Inc."
"Reviewer","Dabral, S.","Texas Instruments, Inc."
"Reviewer","Daglio, P.","STMicroelectronics "
"Reviewer","Daloukas, K.","University of Thessaly"
"Reviewer","Das, A.","National University of Singapore"
"Reviewer","Das, J.","University of South Florida"
"Reviewer","David, R.","CEA-LIST"
"Reviewer","De Colle, A.","Synopsys, Inc."
"Reviewer","de Jong, G.","ArchWorks"
"Reviewer","Dillinger, T.","Oracle Corp."
"Reviewer","Dong, X.","Qualcomm Technologies, Inc."
"Reviewer","Doss, C.","North Carolina State University"
"Reviewer","Dossis, M.","Technological Educational Institute of Western Macedonia"
"Reviewer","Dougherty, B.","IBM Systems and Technology Group"
"Reviewer","Dousti, M.","University of Southern California"
"Reviewer","Drane, T.","Imagination Technologies Ltd."
"Reviewer","Duncan, R.","Synopsys, Inc."
"Reviewer","Duong, N.","University of California, Irvine"
"Reviewer","Durbha, A.","Algotochip Corp."
"Reviewer","Durelli, G.","Polytechnic University of Milan"
"Reviewer","Dwaraka Bhamidipatti, J.","LSI Corporation"
"Reviewer","Economakos, G.","National Technical University Of Athens"
"Reviewer","Ehrler, T.","Advanced Micro Devices, Inc."
"Reviewer","Ekambaram Iyer, U.","ChipChalk"
"Reviewer","Elahi, J.","Nordic Semiconductor"
"Reviewer","Emmer, M.","Intel Corporation"
"Reviewer","Enachescu, M.","Delft University of Technology"
"Reviewer","Fang, J.","MediaTek, Inc."
"Reviewer","Fang, S.","National Taiwan University of Science and Technology"
"Reviewer","Farshidi, A.","University Of Calgary"
"Reviewer","Feng, X.","Nvidia Corp."
"Reviewer","Ferri, C.","Brown University"
"Reviewer","Fey, G.","German Aerospace Center"
"Reviewer","Firas, Y.","Lyon Institute of Nanotechnology"
"Reviewer","firouzi, f.","Karlsruhe Institute of Technology"
"Reviewer","Flores, P.","INESC-ID/IST - TU Lisbon"
"Reviewer","Fraer, R.","Intel Corporation"
"Reviewer","Fredrickson, M.","IBM Server and Technology Group"
"Reviewer","Gan, H.","Intel Corporation"
"Reviewer","Gangadhar, S.","Intel Corporation"
"Reviewer","Gao, J.","University of Texas at Austin"
"Reviewer","Gao, M.","Apple, Inc."
"Reviewer","Gerdes, M.","University of Augsburg"
"Reviewer","Gericota, M.","Polytechnic Institute of Porto"
"Reviewer","Ghaida, R.","University of California, Los Angeles"
"Reviewer","Gharehbaghi, A.","University Of Tokyo"
"Reviewer","Ghavami, B.","Kerman Graduate University of Technology"
"Reviewer","Ghosal, A.","National Instruments Corporation"
"Reviewer","Ghosh, P.","Intel Corporation"
"Reviewer","Gill, H.","Samsung"
"Reviewer","Gong, F.","University of California, Los Angeles"
"Reviewer","Goudarzi, H.","University Of Southern California"
"Reviewer","Gray, R.","Intel Corporation"
"Reviewer","Graziano, M.","Politecnico Di Torino"
"Reviewer","Grout, S.","Consultant"
"Reviewer","Guerra e Silva, L.","INESC-ID"
"Reviewer","Guo, L.","Florida International University"
"Reviewer","Guo, X.","University Of Virginia"
"Reviewer","Hamilton, B.","U.S. Naval Surface Warfare Center"
"Reviewer","Hamzeh, M.","Arizona State University"
"Reviewer","Harisharan, U.","Cisco Systems, Inc."
"Reviewer","Hassan, S.","Synopsys (India) Pvt. Ltd."
"Reviewer","HE, Q.","Oracle Corp."
"Reviewer","HE, W.","Technical University of Madrid"
"Reviewer","Hirech, M.","Synopsys, Inc."
"Reviewer","Hirschl, B.","Intel Corporation"
"Reviewer","Hofmann, A.","cronologic GmbH &amp; Co. KG"
"Reviewer","Honkote, V.","Intel Corporation"
